date	mean per day [C°]
28/10/2019	11.39999962
29/10/2019	11.68000031
30/10/2019	11.39999962
31/10/2019	11.02000046
01/11/2019	10.5
02/11/2019	10.02999973
03/11/2019	9.590000153
04/11/2019	9.899999619
05/11/2019	11
06/11/2019	12.35000038
07/11/2019	13.77999973
08/11/2019	13.89000034
09/11/2019	13.56000042
10/11/2019	13.02000046
11/11/2019	12.82999992
12/11/2019	12.46000004
13/11/2019	12.42000008
14/11/2019	10.89000034
15/11/2019	11.01000023
16/11/2019	11.86999989
17/11/2019	12.18999958
18/11/2019	12.32999992
19/11/2019	11.75
20/11/2019	10.82999992
21/11/2019	9.449999809
22/11/2019	8.06000042
23/11/2019	6.949999809
24/11/2019	6.570000172
25/11/2019	6.679999828
26/11/2019	6.769999981
27/11/2019	6.519999981
28/11/2019	6.699999809
29/11/2019	7.349999905
30/11/2019	8.430000305
01/12/2019	9.340000153
02/12/2019	9.739999771
03/12/2019	9.420000076
04/12/2019	8.949999809
05/12/2019	8.180000305
06/12/2019	7.659999847
07/12/2019	8.970000267
08/12/2019	9.319999695
09/12/2019	9.069999695
10/12/2019	7.760000229
11/12/2019	7.179999828
12/12/2019	7.440000057
13/12/2019	8.489999771
14/12/2019	8.930000305
15/12/2019	8.520000458
16/12/2019	8.779999733
17/12/2019	10.18000031
18/12/2019	10.69999981
19/12/2019	10.56999969
20/12/2019	10.35000038
21/12/2019	9.989999771
22/12/2019	10.06999969
23/12/2019	10.38000011
24/12/2019	9.359999657
25/12/2019	9.220000267
26/12/2019	9.630000114
27/12/2019	9.520000458
28/12/2019	9.25
29/12/2019	8.210000038
30/12/2019	7.769999981
31/12/2019	7.369999886
