YEAR,MONTH,DAY,TEMPERATURE_AVG,RADIATION
2009,11,24,11.1,2488
2009,11,25,11.4,1748
2009,11,26,9.1,2367
2009,11,27,6.9,1880
2009,11,28,7.7,2318
2009,11,29,9.5,2000
2009,11,30,5.9,2050
2009,12,01,7.2,2189
2009,12,02,5.3,1608
2009,12,03,8.4,1913
2009,12,04,5.5,2910
2009,12,05,7.2,2531
2009,12,06,10.9,2152
2009,12,07,7.6,1809
2009,12,08,8.2,2458
2009,12,09,8.4,2206
2009,12,10,10.4,2247
2009,12,11,7.9,2139
2009,12,12,4.6,2500
2009,12,13,2.5,2270
2009,12,14,-0.4,3286
2009,12,15,-2.2,3760
2009,12,16,-2.1,2386
2009,12,17,-0.2,1169
2009,12,18,-1.7,2867
2009,12,19,-4.3,2946
2009,12,20,-1.5,2800
2009,12,21,-1.7,2236
2009,12,22,1.4,1865
2009,12,23,0.3,1993
2009,12,24,0.6,1473
2009,12,25,3.4,2227
2009,12,26,4,3755
2009,12,27,5.1,1882
2009,12,28,4.4,2640
2009,12,29,0.7,1357
2009,12,30,5.4,1838
2009,12,31,1,1150
2010,01,01,1.4,2915
2010,01,02,-0.2,2149
2010,01,03,-0.2,3026
2010,01,04,-2.8,2147
2010,01,05,-1.4,3232
2010,01,06,-3.8,1912
2010,01,07,-3.5,2045
2010,01,08,-4.7,2576
2010,01,09,-2.5,2129
2010,01,10,-0.3,1244
2010,01,11,-1,1851
2010,01,12,-0.3,1502
2010,01,13,-0.6,1140
2010,01,14,1.9,2744
2010,01,15,1,2249
2010,01,16,1.8,1551
2010,01,17,5.3,4233
2010,01,18,4.7,3067
2010,01,19,4.8,1666
2010,01,20,2,1648
2010,01,21,2.8,1751
2010,01,22,3.1,2150
2010,01,23,3.4,983
2010,01,24,3.6,1393
2010,01,25,2.4,1331
2010,01,26,-1.5,2495
2010,01,27,-1.6,4050
2010,01,28,3.8,2708
2010,01,29,3.6,2126
2010,01,30,1.3,3893
2010,01,31,1,5108
2010,02,01,1.8,5020
2010,02,02,3.1,3652
2010,02,03,3.6,2095
2010,02,04,6.3,4082
2010,02,05,7,3800
2010,02,06,3.2,4054
2010,02,07,3,2019
2010,02,08,2,1470
2010,02,09,-2,4323
2010,02,10,-1.7,3429
2010,02,11,-1.4,3738
2010,02,12,-1.6,7174
2010,02,13,-1.3,4295
2010,02,14,-0.9,4544
2010,02,15,-1.9,2938
2010,02,16,0.1,6059
2010,02,17,-1,5029
2010,02,18,3.1,4304
2010,02,19,3.7,2803
2010,02,20,2.3,6356
2010,02,21,2.8,4308
2010,02,22,6,4846
2010,02,23,3.7,3054
2010,02,24,7.7,6708
2010,02,25,9.2,4414
2010,02,26,8.4,3040
2010,02,27,7.6,5579
2010,02,28,8.4,4508
2010,03,01,5.3,8763
2010,03,02,3.6,10781
2010,03,03,2.5,6277
2010,03,04,3.2,9680
2010,03,05,2.1,6798
2010,03,06,3.5,6484
2010,03,07,-0.1,11251
2010,03,08,0.3,7650
2010,03,09,0.9,11689
2010,03,10,2.5,11752
2010,03,11,2.4,7201
2010,03,12,3.3,5808
2010,03,13,5.1,5968
2010,03,14,6.7,5960
2010,03,15,7.6,10002
2010,03,16,8.1,9755
2010,03,17,8.2,10731
2010,03,18,10.7,11520
2010,03,19,14.1,6198
2010,03,20,14.8,7135
2010,03,21,8.3,5669
2010,03,22,7.8,9876
2010,03,23,10.6,8053
2010,03,24,12.7,11338
2010,03,25,14.2,9266
2010,03,26,11.1,9177
2010,03,27,9.1,10365
2010,03,28,9.2,8977
2010,03,29,12,8893
2010,03,30,11.2,8822
2010,03,31,6.5,8214
2010,04,01,6,13166
2010,04,02,6.7,10918
2010,04,03,8.5,9917
2010,04,04,8.1,9077
