,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
99%,0.11740000000000003,0.13835000000000006,0.15835000000000005,0.22745000000000004,0.28065,0.34585,0.6321500000000001,0.86585,1.2770000000000001,0.7357,0.77675,0.81675,0.95495,1.0613000000000001,1.19175,1.76435,2.2326,3.0540000000000003,0.05895,0.06690000000000002,0.07385000000000003,0.09380000000000001,0.10775000000000003,0.12375000000000001,0.17595000000000002,0.21394999999999997,0.271,0.02295,0.026950000000000005,0.03195,0.05075000000000001,0.05875000000000002,0.06870000000000002,0.09055000000000003,0.09950000000000003,0.11240000000000003,strahler1
max,0.125,0.147,0.168,0.243,0.302,0.374,0.6709999999999999,0.9109999999999999,1.325,0.75,0.794,0.8370000000000001,0.985,1.103,1.248,1.8419999999999999,2.3209999999999997,3.1510000000000002,0.061,0.068,0.07400000000000001,0.096,0.11199999999999999,0.131,0.196,0.24100000000000002,0.307,0.023,0.027000000000000003,0.033,0.051,0.061,0.07200000000000001,0.096,0.106,0.121,strahler1
count,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,strahler2
mean,0.05225641025641027,0.06261538461538463,0.07294871794871795,0.11105128205128204,0.1433076923076923,0.18553846153846157,0.3797948717948717,0.5544358974358975,0.8822051282051283,1.1045641025641026,1.1252564102564107,1.1457948717948718,1.221974358974359,1.2868205128205124,1.3710769230769233,1.75951282051282,2.1089230769230762,2.7644871794871806,0.06492307692307693,0.07276923076923078,0.07992307692307692,0.10302564102564105,0.11976923076923078,0.1385641025641025,0.20415384615384616,0.2475641025641026,0.3112564102564102,0.0037179487179487204,0.004461538461538465,0.0054102564102564135,0.008153846153846159,0.00946153846153847,0.01097435897435898,0.014102564102564111,0.015461538461538473,0.0174871794871795,strahler2
std,0.021401817370836265,0.025265553192789027,0.029065215888220745,0.04311792197777522,0.054681447756482635,0.06927931496328019,0.1312232287458403,0.18186516041342202,0.27077055537340095,0.042826943604645895,0.05035856585721723,0.058180834015108956,0.08627998706155113,0.10936776966654918,0.13863685706785125,0.2623793829948967,0.36375355918789626,0.5414202994169897,0.015415959972131094,0.01732728535615909,0.01907379659635675,0.024765730970422124,0.028836619206964068,0.03374891411258557,0.05099924584661108,0.06276136712802452,0.079738955001112,0.001276275789959908,0.001570218788747101,0.0020094244884117643,0.0030047196343372306,0.0034247255275819195,0.004035938418803967,0.005359668449068527,0.005879698138716744,0.0066446329543862325,strahler2
min,0.021,0.025,0.03,0.046,0.059000000000000004,0.077,0.16399999999999998,0.247,0.409,1.042,1.051,1.06,1.091,1.119,1.155,1.329,1.494,1.819,0.033,0.038,0.042,0.055,0.064,0.073,0.10099999999999999,0.121,0.152,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,strahler2
1%,0.021,0.02538,0.03,0.046,0.05938,0.07776,0.16513999999999998,0.24852000000000002,0.41242,1.04238,1.05138,1.06,1.09176,1.11938,1.15576,1.33128,1.49742,1.82546,0.033760000000000005,0.03838,0.042760000000000006,0.056139999999999995,0.06476,0.073,0.10175999999999999,0.12176000000000001,0.15276,0.001,0.001,0.001,0.001,0.0013800000000000002,0.0013800000000000002,0.0017599999999999998,0.0017599999999999998,0.00238,strahler2
5%,0.021900000000000003,0.026000000000000002,0.0309,0.0469,0.060899999999999996,0.0799,0.16879999999999998,0.2528,0.4189,1.0439,1.0529,1.0609,1.0939,1.1218000000000001,1.1588,1.3377,1.5066,1.8378,0.0413,0.0453,0.0485,0.0589,0.06870000000000001,0.08109999999999999,0.1237,0.1545,0.2008,0.0019000000000000002,0.0019000000000000002,0.0019000000000000002,0.0037000000000000006,0.0038000000000000004,0.0047,0.005700000000000001,0.0066,0.0075000000000000015,strahler2
25%,0.0305,0.037000000000000005,0.0435,0.0675,0.0895,0.119,0.262,0.393,0.6519999999999999,1.061,1.0739999999999998,1.0865,1.1355,1.179,1.238,1.5234999999999999,1.7854999999999999,2.305,0.054000000000000006,0.06,0.066,0.085,0.098,0.11249999999999999,0.161,0.1935,0.248,0.003,0.004,0.004,0.0065,0.008,0.009000000000000001,0.011000000000000001,0.0125,0.013999999999999999,strahler2
50%,0.051,0.062,0.07200000000000001,0.11,0.142,0.184,0.376,0.551,0.91,1.103,1.124,1.1440000000000001,1.22,1.284,1.369,1.7530000000000001,2.102,2.819,0.065,0.073,0.08,0.10400000000000001,0.12,0.139,0.21,0.258,0.313,0.004,0.004,0.005,0.008,0.009000000000000001,0.011000000000000001,0.013999999999999999,0.015,0.017,strahler2
