reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
118.000,0.072,0.086,0.098,0.144,0.179,0.201,0.224,0.406,0.553,0.818,0.643,0.671,0.697,0.787,0.859,0.902,0.948,1.311,1.606,2.136,78.495,108.441,140.153,285.890,441.852,710.116,688.133,2426.506,4847.434,11818.076,0.004,0.005,0.007,0.011,0.012,0.013,0.015,0.019,0.021,0.023,0.022,0.025,0.028,0.036,0.042,0.045,0.049,0.077,0.097,0.128
119.000,0.003,0.004,0.004,0.007,0.009,0.011,0.012,0.025,0.038,0.064,0.506,0.508,0.509,0.514,0.518,0.521,0.523,0.550,0.576,0.629,2.741,3.807,4.917,10.024,15.496,24.916,24.130,85.102,170.168,415.767,0.009,0.012,0.015,0.025,0.029,0.030,0.035,0.046,0.051,0.058,0.020,0.023,0.025,0.033,0.040,0.043,0.047,0.076,0.097,0.133
12.000,0.062,0.075,0.087,0.136,0.178,0.215,0.234,0.517,0.792,1.333,2.062,2.075,2.087,2.136,2.178,2.215,2.234,2.517,2.792,3.333,1089.363,1467.014,1892.090,3857.850,5963.172,9581.918,9289.187,32744.604,65392.197,157571.359,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.006,0.100,0.112,0.123,0.160,0.187,0.198,0.218,0.326,0.401,0.515
120.000,0.004,0.004,0.005,0.008,0.010,0.012,0.013,0.028,0.042,0.072,0.507,0.509,0.510,0.515,0.520,0.524,0.526,0.556,0.585,0.644,3.300,4.555,5.895,12.017,18.583,29.866,28.936,102.033,204.101,496.617,0.008,0.011,0.014,0.023,0.027,0.028,0.033,0.043,0.048,0.054,0.022,0.024,0.027,0.036,0.042,0.046,0.050,0.081,0.103,0.140
121.000,0.007,0.008,0.010,0.015,0.019,0.023,0.025,0.053,0.080,0.134,0.513,0.516,0.519,0.529,0.538,0.545,0.549,0.605,0.659,0.769,9.711,13.415,17.358,35.386,54.692,87.947,85.164,300.411,601.212,1465.333,0.006,0.008,0.010,0.015,0.018,0.018,0.021,0.028,0.031,0.035,0.033,0.038,0.042,0.055,0.065,0.069,0.076,0.120,0.151,0.200
122.000,0.008,0.010,0.012,0.018,0.023,0.028,0.030,0.065,0.098,0.164,0.516,0.520,0.523,0.536,0.546,0.555,0.561,0.629,0.695,0.828,9.731,13.425,17.354,35.405,54.732,87.952,85.202,300.571,601.820,1459.424,0.007,0.010,0.012,0.019,0.022,0.023,0.026,0.034,0.038,0.043,0.027,0.031,0.034,0.045,0.052,0.056,0.062,0.096,0.120,0.156
123.000,0.014,0.018,0.021,0.032,0.041,0.050,0.054,0.118,0.181,0.310,0.529,0.535,0.541,0.563,0.583,0.600,0.609,0.737,0.863,1.120,11.594,15.919,20.592,41.977,64.860,104.348,101.076,357.392,714.626,1731.432,0.014,0.017,0.020,0.030,0.034,0.035,0.040,0.052,0.057,0.064,0.018,0.020,0.022,0.029,0.034,0.035,0.039,0.057,0.067,0.080
124.000,0.034,0.041,0.048,0.074,0.097,0.115,0.127,0.268,0.394,0.621,0.568,0.582,0.596,0.648,0.694,0.730,0.754,1.036,1.287,1.742,23.217,31.652,40.942,83.448,128.984,207.455,200.913,709.241,1419.563,3435.252,0.020,0.025,0.029,0.040,0.045,0.046,0.051,0.064,0.070,0.078,0.015,0.017,0.018,0.023,0.026,0.027,0.029,0.040,0.047,0.057
125.000,0.044,0.053,0.061,0.095,0.123,0.144,0.160,0.322,0.457,0.693,0.587,0.605,0.623,0.690,0.747,0.788,0.820,1.144,1.414,1.886,33.841,45.957,59.438,121.127,187.300,301.056,291.574,1028.940,2053.852,4979.673,0.017,0.021,0.026,0.036,0.041,0.042,0.047,0.058,0.063,0.070,0.017,0.018,0.020,0.025,0.028,0.030,0.032,0.045,0.055,0.070
126.000,0.063,0.074,0.086,0.126,0.158,0.178,0.198,0.363,0.494,0.717,0.626,0.649,0.671,0.752,0.816,0.856,0.897,1.226,1.489,1.935,36.497,49.366,63.772,129.960,200.892,323.102,313.158,1102.789,2206.576,5341.166,0.016,0.022,0.028,0.044,0.052,0.053,0.061,0.079,0.087,0.097,0.012,0.013,0.015,0.019,0.022,0.024,0.026,0.041,0.052,0.071
